Title,Link,Summary
Tư lệnh quân đội Israel để ngỏ khả năng đưa quân vào Lebanon,https://vnexpress.net/tu-lenh-quan-doi-israel-de-ngo-kha-nang-dua-quan-vao-lebanon-4797055.html,Tư lệnh quân đội Israel tuyên bố chiến dịch không kích dữ dội vào Lebanon nhằm làm suy yếu Hezbollah và chuẩn bị khả năng tiến quân vào nước này.
Tâm trạng của người Israel trước nguy cơ chiến tranh với Hezbollah,https://vnexpress.net/tam-trang-cua-nguoi-israel-truoc-nguy-co-chien-tranh-voi-hezbollah-4796277.html,"Một số cư dân miền bắc Israel ủng hộ quân đội giao tranh với Hezbollah để chấm dứt xung đột kéo dài, nhưng bầu không khí lo sợ, căng thẳng cũng bao trùm đất nước."
Trang trại Thái Lan tiêu hủy 125 con cá sấu vì lo sổng chuồng trong lũ,https://vnexpress.net/trang-trai-thai-lan-tieu-huy-125-con-ca-sau-vi-lo-song-chuong-trong-lu-4796904.html,Trang trại ở miền bắc Thái Lan tiêu hủy toàn bộ đàn cá sấu 125 con vì lo ngại chúng sổng chuồng giữa lúc mưa lũ hoành hành.
Rủi ro từ chiến lược 'leo thang để xuống thang' của Israel trước Hezbollah,https://vnexpress.net/rui-ro-tu-chien-luoc-leo-thang-de-xuong-thang-cua-israel-truoc-hezbollah-4796260.html,"Israel muốn gia tăng áp lực lên Hezbollah đến mức khiến nhóm phải khuất phục và nhượng bộ, song để đạt được mục tiêu này không phải điều dễ dàng."
Ông Biden đề cao quan hệ Việt - Mỹ trong phát biểu chia tay LHQ,https://vnexpress.net/ong-biden-de-cao-quan-he-viet-my-trong-phat-bieu-chia-tay-lhq-4796891.html,"Tổng thống Biden khẳng định việc Mỹ và Việt Nam là ""đối tác, bạn bè"" minh chứng cho khả năng hòa giải để tiến về phía trước, trong bài phát biểu cuối cùng ở Đại hội đồng LHQ."
Tên lửa Hezbollah lần đầu bay tới Tel Aviv,https://vnexpress.net/ten-lua-hezbollah-lan-dau-bay-toi-tel-aviv-4796913.html,"Tên lửa đạn đạo Hezbollah lần đầu bay đến Tel Aviv và khiến Israel phải kích hoạt báo động phòng không, đánh dấu bước leo thang mới trong xung đột."
Tổng thư ký Liên Hợp Quốc 'dành tình cảm đặc biệt' cho Việt Nam,https://vnexpress.net/tong-thu-ky-lien-hop-quoc-danh-tinh-cam-dac-biet-cho-viet-nam-4796828.html,"Tổng thư ký Liên Hợp Quốc cho biết ông dành ""tình cảm đặc biệt"" và đánh giá cao vai trò, vị thế của Việt Nam, trong cuộc gặp Tổng Bí thư, Chủ tịch nước Tô Lâm."
Ông Biden: Chỉ ngoại giao mới chấm dứt được xung đột Israel - Hezbollah,https://vnexpress.net/ong-biden-chi-ngoai-giao-moi-cham-dut-duoc-xung-dot-israel-hezbollah-4796708.html,"Ông Biden phát biểu tại Đại hội đồng LHQ, khẳng định giải pháp ngoại giao là ""con đường duy nhất"" để chấm dứt căng thẳng Israel - Hezbollah."
Vườn thú Phần Lan trả gấu trúc cho Trung Quốc vì thiếu tiền nuôi,https://vnexpress.net/vuon-thu-phan-lan-tra-gau-truc-cho-trung-quoc-vi-thieu-tien-nuoi-4796712.html,"Vườn thú Phần Lan sẽ trả hai con gấu trúc cho Trung Quốc sớm hơn 8 năm so với dự định, do không thể bảo đảm chi phí chăm sóc."
Thụy Sĩ giải cứu hai người Việt kẹt trên núi tuyết,https://vnexpress.net/thuy-si-giai-cuu-hai-nguoi-viet-ket-tren-nui-tuyet-4796735.html,"Thụy Sĩ mở chiến dịch kéo dài 14 giờ, giải cứu hai người Việt Nam mắc kẹt khi leo núi Matterhorn, ở độ cao 3.500 m."
